Category,GRN no,Customer/Vendor Code,VendorName,Address,LC No,Posting Date,Item No.,Item Description,Inventory UoM,Quantity,Price,Price USD,Total Amount
Button,5227,V000000162,"ALIBABA ONETOUCH BUSINESS SERVICE CO., LTD.",,135621020241,3/29/2022,40251,PRONG SNAP BUTTON 9.5 mm(BRASS QUALITY),Gross,228,2.15,2.15,490.2
Button,859,V000000162,"ALIBABA ONETOUCH BUSINESS SERVICE CO., LTD.",,209721020047,5/9/2021,40251,PRONG SNAP BUTTON 9.5 mm(BRASS QUALITY),Gross,"9,850.00",1.77,1.77,"17,434.50"
Chemical,8862,V000000656,CAR SATTAR TRADING,Mirpur -11,,10/13/2022,40564,MOBIL,Ltr,4,450,5.29,21.18
Button,1121,V000000162,"ALIBABA ONETOUCH BUSINESS SERVICE CO., LTD.",,209721020047,6/6/2021,40251,PRONG SNAP BUTTON 9.5 mm(BRASS QUALITY),Gross,900,1.7,1.7,"1,530.00"
Button,1623,V000000162,"ALIBABA ONETOUCH BUSINESS SERVICE CO., LTD.",,209721020059,7/13/2021,40255,ALLUMINIUM TACKS 7.5 MM,Gross,"96,982.00",0.135,0.14,"13,092.57"
Button,1623,V000000162,"ALIBABA ONETOUCH BUSINESS SERVICE CO., LTD.",,209721020059,7/13/2021,40228,PLASTIC WASHER 14 MM FOR EYELET,Gross,"14,000.00",0.08,0.08,"1,120.00"
Button,1623,V000000162,"ALIBABA ONETOUCH BUSINESS SERVICE CO., LTD.",,209721020059,7/13/2021,40257,ALLUMINIUM TACKS 9 mm,Gross,"84,575.00",0.135,0.14,"11,417.63"
Button,1623,V000000162,"ALIBABA ONETOUCH BUSINESS SERVICE CO., LTD.",,209721020059,7/13/2021,40254,NORMAL SHANK BUTTON SCREW,Gross,"108,000.00",0.135,0.14,"14,580.00"
Button,1623,V000000162,"ALIBABA ONETOUCH BUSINESS SERVICE CO., LTD.",,209721020059,7/13/2021,40253,ALLUMINIUM EYEHOLE SHANK BUTTON SCREW,Gross,"13,000.00",0.14,0.14,"1,820.00"
Button,5700,V000000162,"ALIBABA ONETOUCH BUSINESS SERVICE CO., LTD.",,135622020067,4/27/2022,40268,NORMAL  SCREW  ( IS LOGO ),Gross,"3,500.00",0.18,0.18,630
Button,5700,V000000162,"ALIBABA ONETOUCH BUSINESS SERVICE CO., LTD.",,135622020067,4/27/2022,40736,S.S SPRINNG TYPE POST 12.5MM (CHINA QUALITY),Gross,"18,500.00",0.453333,0.45,"8,386.66"
Button,5700,V000000162,"ALIBABA ONETOUCH BUSINESS SERVICE CO., LTD.",,135622020067,4/27/2022,40257,ALLUMINIUM TACKS 9 mm,Gross,"57,000.00",0.172,0.17,"9,804.00"
Button,5700,V000000162,"ALIBABA ONETOUCH BUSINESS SERVICE CO., LTD.",,135622020067,4/27/2022,40256,PLASTIC RUBBER SHANK,Gross,"70,000.00",0.1112,0.11,"7,784.00"
Chemical,2588,V000000277,FAMOUS PRINTERS,"10/10 ARAMBAG(BESIDE CONTINANTIAL HEAD OFFICE),MOTIJHEEL ,DHAKA-1000.",,9/29/2021,C0000101,PACKING SLIP BOOK (BUTTON),PCS,100,135,1.59,158.82
Chemical,2588,V000000277,FAMOUS PRINTERS,"10/10 ARAMBAG(BESIDE CONTINANTIAL HEAD OFFICE),MOTIJHEEL ,DHAKA-1000.",,9/29/2021,C0000010,Particulars Book (Auto Carbon For Button & Zipper),PCS,316,100,1.18,371.76
Chemical,2588,V000000277,FAMOUS PRINTERS,"10/10 ARAMBAG(BESIDE CONTINANTIAL HEAD OFFICE),MOTIJHEEL ,DHAKA-1000.",,9/29/2021,C0000099,PARTICULOR BOOK AUTO CARBON (SEWING THREAD),PCS,68,150,1.76,120
